,question,answer,evidence,type,difficulty
671,"What did the living room look like during the last jam session LiHua mentioned on March 19, 2026?","The living room was cozy with music stands, a drum set, guitars on stands, three friends laughing, open sheet music, pizza boxes, and warm string lights overhead.",['20260319_1900'],Single,medium
672,"What did the honey oat bread Hailey left for Li Hua on March 20, 2026, look like?","The bread was golden-brown with a rustic, glossy crust sprinkled with oats, resting on a wooden cutting board in soft sunlight.",['20260320_0800'],Single,easy
673,How was ChaeSong-hwa's backyard set up on March 20th for the bonfire party?,"The backyard featured a circle of wooden chairs around a bonfire, string lights between trees, and a small table with snacks and drinks.",['20260320_1800'],Single,medium
674,"What did Li Hua's bread delivery look like on the morning of March 23, 2026?","The bread was a golden, crusty loaf with steam rising from it, placed on a wooden cutting board beside a melting pat of butter in warm morning light.",['20260323_0800'],Single,easy
675,"What did LiHua's setup look like before the jam session on March 24, 2026?","LiHua's setup featured a sunburst electric guitar on a stand, a small amp, colorful string lights, and an open notebook with handwritten song ideas on a stool.",['20260324_1200'],Single,hard
676,"What exercises did Jennifer include in the workout plan shared on March 25, 2026?","The workout plan included squats, lunges, deadlifts, and balance drills.",['20260325_1900'],Single,easy
677,"What did the PDP Concept drum kit that Wolfgang shared on March 26, 2026, look like?","The drum kit had a sleek matte black finish with chrome hardware, shining cymbals, and a comfortable drum stool nearby.",['20260326_1600'],Single,easy
678,How did the rosemary focaccia baked on March 27th look?,"It was golden-brown with cherry tomato halves, fresh rosemary, and a sprinkle of sea salt on top.",['20260327_0800'],Single,medium
679,"What did the recycling poster in the building's lobby look like on March 28, 2026?","The poster was colorful, showed labeled bins for paper, plastic, glass, and metal with sorting tips, and featured a cheerful earth illustration surrounded by recycling arrows.",['20260328_1500'],Single,medium
680,"What did the living room look like during the last jam session with Yuriko, LiHua, and Wolfgang?","The living room had colorful string lights on the ceiling, music sheets on the coffee table, and the three friends playing their instruments while laughing together.",['20260329_1000'],Single,easy
681,"Who was pictured preparing the first delivery with Hailey on March 29, 2026?",Alice was pictured smiling in the bakery beside baskets of fresh bread and bottles of milk.,['20260329_1300'],Single,easy
682,"How did the loaf of bread look when Hailey packaged it on March 30, 2026?",The loaf was rustic and golden-brown with a crisp crust and a dusting of flour on top.,['20260330_0800'],Single,medium
683,"What payment details did Adam provide to Li Hua on March 30, 2026?","Adam provided his name, account number, and the amount due for rent in a clearly labeled digital banking interface.",['20260330_1800'],Single,medium
684,"What did Hailey's cinnamon rolls look like on March 31, 2026?","The cinnamon rolls were golden-brown with swirls of cinnamon and sugar, topped with melting creamy vanilla icing.",['20260331_1400'],Single,medium
685,"How did LiHua's living room appear on March 31, 2026?","The living room was bright and tidy, featuring a soft gray sofa, a small coffee table with fresh flowers, sunlight streaming through large windows, a neatly arranged bookshelf, and a potted plant in the corner.",['20260331_1700'],Single,hard
686,"What did the drum kit Wolfgang Schulz shared on April 1, 2026, look like?","It was a glossy, high-end drum kit with deep red lacquered shells, polished chrome hardware, and sparkling cymbals on a small stage.",['20260401_1500'],Single,medium
687,"What did Hailey Johnson's gluten-free bread look like when she announced it on April 2, 2026?","The gluten-free bread loaves were golden-brown with crisp crusts, lightly dusted with flour, and looked soft and airy inside.",['20260402_0830'],Single,medium
688,What did the rehearsal space look like after the session last Sunday?,"The rehearsal space was cozy and bathed in warm, golden light, with a drum set, electric bass, and guitar on stands, and sheet music and coffee mugs scattered on a rug.",['20260402_1900'],Single,medium
689,"What did the bread delivered by Alice on April 3rd, 2026 look like?","The bread was a rustic, golden-brown loaf with a crisp, split top, resting on a wooden board and dusted with flour.",['20260403_0800'],Single,medium
690,"How did Li Hua appear during her last training session on April 3, 2026?","Li Hua was smiling confidently while lifting dumbbells, looking energized and determined with bright natural light streaming in behind her.",['20260403_1500'],Single,hard
691,What was LiHua doing during the last jam session?,LiHua was smiling while strumming an acoustic guitar.,['20260405_1000'],Single,medium
692,What topics were listed for the community medical knowledge lecture hosted by ChaeSong-hwa on Saturday at 7 PM?,"The topics listed were preventing common illnesses, nutrition basics, and a Q&A session.",['20260407_1900'],Single,medium
693,"What did LiHua's living room look like on April 8, 2026?","LiHua's living room had two guitars by a sunlit window, a small drum kit near a comfy couch, and a stack of Beatles vinyl records on the coffee table.",['20260408_1300'],Single,hard
694,"What did the living room look like during one of Wolfgang, LiHua, and Yuriko's first jam sessions?","The living room was cozy, filled with a drum set, an acoustic guitar, a keyboard, sheet music scattered on the coffee table, and sunlight streaming in through the window while the three friends laughed together.",['20260410_1100'],Single,medium
695,"What was featured on the flyer for the community medical knowledge lecture on April 11, 2026?","The flyer included illustrations of a stethoscope, fruits, and a heart, with bold text announcing the lecture and event details.",['20260411_1600'],Single,medium
696,"What was Dr. ChaeSong-hwa doing during the medical lecture on April 11, 2026?",Dr. ChaeSong-hwa stood beside a large screen displaying a colorful brain scan and gestured animatedly while explaining a complex concept.,['20260411_2100'],Single,medium
697,What did the sourdough loaves look like for the bakery's anniversary event in April 2024?,"The sourdough loaves were golden-brown with beautifully cracked crusts, lightly dusted with flour, and displayed on wire racks in a cozy bakery kitchen.",['20260413_2100'],Single,medium
698,"What surgical instruments were highlighted in the photo LiHua shared on April 14, 2026?","The photo featured surgical scalpels, delicate retractors, forceps, and a surgical microscope arranged on a sterile tray.",['20260414_1600'],Single,medium
699,"What was ChaeSong-hwa doing during her class in the week of April 14, 2026?",ChaeSong-hwa was demonstrating a surgical technique to a group of medical students gathered around an operating table.,['20260414_1700'],Single,medium
700,What did the jam session setup look like on the Sunday when Yuriko was absent?,"The setup featured two guitars against a couch, a keyboard on a small table, string lights across the window, and open music sheets on the coffee table.",['20260416_1900'],Single,medium
701,What instruments were visible during the last jam session mentioned by YurikoYamamoto?,"An electric guitar, a bass, and a drum set were visible in the cozy room.",['20260416_2100'],Single,medium
702,"What features did Adam include in his sketch of the community garden on April 17, 2026?","The sketch showed curved pathways with benches, flower beds of lavender and coneflowers, a dedicated herb section with basil, mint, and rosemary, and people relaxing among butterflies and bees.",['20260417_1100'],Single,easy
703,"What was Li Hua doing during her last session with Jennifer Moore before April 17, 2026?","Li Hua was mid-deadlift in the gym, focused and determined, with Jennifer nearby offering encouragement.",['20260417_1200'],Single,hard
704,"What pastries were displayed at Hailey's bakery on April 17, 2026?","The display case featured cream-filled eclairs, fruit-topped tarts, and flaky croissants arranged under warm shop lights.",['20260417_2000'],Single,medium
705,"What did the dessert table at the anniversary event on April 18, 2026 look like?","The dessert table was covered with white linen and featured assorted pastries like raspberry tarts, chocolate éclairs, fruit danishes, and macarons, with colorful balloons and an 'Anniversary Celebration' banner in the background.",['20260418_1500'],Single,medium
706,What did the raspberry tart served at last year's annual event look like?,"It was golden-brown, topped with fresh raspberries and powdered sugar, with a slice already served on a plate beside it.",['20260418_1530'],Single,medium
707,What kind of pastries did Wolfgang get from Hailey's bakery before the party in April?,"Wolfgang got golden croissants, fruit tarts with glossy berries, and delicate eclairs dusted with powdered sugar.",['20260419_2100'],Single,medium
708,"What did the fitness bag offered to Li Hua by Jennifer Moore look like on April 20, 2026?","The fitness bag was sleek, black and teal with multiple zippered compartments, a sturdy shoulder strap, and the gym’s logo printed on the side.",['20260420_2100'],Single,medium
709,What did the karaoke room look like during one of ChaeSong-hwa's past karaoke nights?,"The karaoke room was cozy with colorful lights, music-themed posters, friends laughing together, and snacks and drinks on a low table.",['20260421_1600'],Single,easy
710,What did Li Hua's guitar setup look like after moving in April 2026?,"Li Hua's guitar was a sleek, sunburst-finish acoustic resting on a cozy armchair, with music sheets and a cup of coffee nearby in warm afternoon light.",['20260424_2100'],Single,hard
711,What did the living room look like during the last jam session Li Hua mentioned?,"The living room was cozy, with three friends surrounded by guitars and a keyboard, laughing and playing music together under warm string lights, with sheet music scattered on the coffee table.",['20260425_2100'],Single,medium
712,What did the living room look like during last Sunday's jam session?,"The living room had warm lighting and four friends gathered in a circle with their instruments, music sheets on a small table, and everyone looking relaxed and happy.",['20260425_2330'],Single,medium
713,What did the living room look like during last Sunday's jam session?,"The living room had warm lighting and four friends gathered in a circle with their instruments, music sheets on a small table, and everyone looking relaxed and happy.",['20260425_2330'],Single,medium
714,"How did the garden appear when Adam shared the photo on April 26, 2026?","The garden had patches of grass, overgrown bushes, a small stone pathway, an old wooden bench under a tree, and a weathered wooden fence.",['20260426_1000'],Single,hard
715,"What did the community garden look like when IllidanStormrage shared the photo on April 26, 2026?","The community garden was filled with colorful native flowers, winding stone paths, and children’s hand-painted flower pots lining the borders, with people gathered and picnic tables set up in the background.",['20260426_1330'],Single,medium
716,"What scene did LiHua share for inspiration on April 27, 2026?","LiHua shared a photo of a vibrant community garden with wooden benches, colorful flower beds, a winding stone path leading to a picnic table under a large tree, string lights overhead, people relaxing, children playing, and butterflies around the flowers.",['20260427_1030'],Single,hard
717,"What did the living room look like during the band's last jam session before April 27, 2026?","The living room was cozy with instruments scattered around, an electric guitar on the couch, a drum kit in the corner, a keyboard by the window, sunlight streaming in, and colorful posters on the walls while everyone was laughing mid-song.",['20260427_1430'],Single,medium
718,"What did the bread selection at Hailey's bakery look like on the morning of April 27, 2026?","The display featured a variety of freshly baked breads, including baguettes, sourdough loaves, brioche buns, and multigrain rolls, all arranged on wooden shelves with a 20% off sign.",['20260427_1500'],Single,medium
719,"What did LiHua's workout setup look like on April 28, 2026?","LiHua's setup featured a yoga mat, resistance bands, a foam roller, two large water bottles on a small table, and a phone displaying a hydration app, all bathed in sunlight from a nearby window.",['20260428_1700'],Single,hard
720,What did the table look like the last time Wolfgang and LiHua visited their favorite Italian restaurant?,"The table was set for two with plates of steaming pasta, soft candlelight, and a basket of fresh bread in the center.",['20260428_1830'],Single,medium
721,How was the basement arranged for Li Hua's jam session in April 2026?,"The basement featured a drum set, electric guitars on stands, a keyboard, friends tuning their instruments, and soft string lights hanging from the ceiling.",['20260429_1700'],Single,medium
722,"How did the basement storage shelves appear on April 29, 2026?",The storage shelves were neatly arranged with labeled boxes stacked and tools hanging in an orderly manner on the wall.,['20260429_1800'],Single,easy
723,"What did Venedia Grancaffe look like on the evening of April 30th, 2026?","Venedia Grancaffe featured marble tables, plush velvet chairs, a wall lined with wine bottles, and large windows letting in golden evening light, with tables set in crisp white linens and sparkling glassware.",['20260430_1700'],Single,medium
724,What did the community garden look like in the photo AdamSmith shared last spring?,"The garden was vibrant with colorful tulips, daffodils, native wildflowers, lush greenery, and sunlight filtering through young trees onto a stone path.",['20260501_1600'],Single,medium
725,"How did JenniferMoore demonstrate a towel grip pull-up on May 4, 2026?","JenniferMoore showed a pull-up performed by gripping two sturdy towels draped over a pull-up bar, with her forearms visibly engaged in a gym setting.",['20260504_1600'],Single,hard
726,"What was the atmosphere like when the group brainstormed band names on May 5, 2026?","The group sat in a cozy living room, laughing and collaborating with instruments in hand and band name ideas scattered across the table under warm string lights.",['20260505_1900'],Single,easy
727,"What did the 'Contact Form 7' plugin interface look like when Yuriko shared it on May 6, 2026?","It showed a clean, white dashboard with a simple form editor, fields for name, email, subject, and message, and a blue 'Save' button at the bottom.",['20260506_1200'],Single,medium
728,"What flowers had Turalyon bought for the garden as of May 7, 2026?","Turalyon had bought bluebells with delicate blue petals, camellias with deep pink blooms, and bright red and yellow tulips.",['20260507_1600'],Single,easy
729,What treats did Hailey recommend to LiHua for Mother’s Day in May 2026?,Hailey recommended raspberry-filled croissants and chocolate eclairs.,['20260508_0800'],Single,easy
730,What did the trail JenniferMoore visited last week look like?,"The trail wound through tall trees to a hilltop overlooking a blue lake, with runners visible in the golden sunset light.",['20260508_1730'],Single,easy
731,What did the band's practice space look like during their last session playing 'Blackbird'?,"The band practiced in a softly lit living room with string lights draped across the walls, surrounded by musical instruments and scattered sheet music, while everyone looked relaxed and happy.",['20260509_1830'],Single,hard
732,"What stretch did Raze demonstrate on May 10, 2026?",Raze demonstrated a shoulder dislocate stretch using a resistance band in a gym setting.,['20260510_1130'],Single,hard
733,"What did the community garden layout look like as of May 11, 2026?","The garden layout featured rectangular flower beds along the edges, benches in a semi-circle, open grassy areas in the center, lightly outlined pathways, and small circles marking potential spots for trees or larger plants.",['20260511_1000'],Single,medium
734,What details were featured on the flyer for the web design seminar on Thursday?,"The flyer displayed 'Web Design Seminar – Thursday, 3 PM,' a modern workspace with a laptop showing a colorful website mockup, design tool icons, and the company logo.",['20260511_1100'],Single,medium
735,"What was shown alongside the sheet of music Wolfgang shared before the jam session on May 12, 2026?",A pair of drumsticks rested beside the hand-drawn sheet of music on a wooden desk.,['20260512_1600'],Single,hard
736,"What new class did Jennifer Moore announce on May 13, 2026?",Jennifer Moore announced a new yoga class on the schedule.,['20260513_0900'],Single,hard
737,"What did the bakery counter display for the summer promotion on May 14, 2026?","The bakery counter featured colorful scoops of mango and coconut ice cream, golden pastries with chocolate drizzle and fresh fruit, summer-themed decorations, and a vase of sunflowers.",['20260514_1400'],Single,medium
738,"What was on the table during LiHua and Wolfgang's dinner on May 14, 2026?","The table was set with plates of pasta and steak, an elegant chocolate dessert, and glasses of red wine.",['20260514_2200'],Single,hard
739,"What did Wolfgang Schulz share to inspire the group on May 15, 2026?","He shared a photo of a cozy living room with musical instruments, coffee mugs, and notebooks arranged for a relaxed jam session.",['20260515_1000'],Single,hard
740,"What seating arrangement did Turalyon suggest for the garden on May 16, 2026?",Turalyon suggested arranging the seating in a circle or semi-circle so people can face each other and enjoy the view.,['20260516_1000'],Single,easy
741,What did the gym that LiHua visited last week look like?,"The gym was spacious and modern, with rows of treadmills and bikes near large windows, lots of natural light, and a section for free weights and strength machines.",['20260112_1000'],Single,medium
742,"What scene inspired Li Hua when thinking about fitness goals on January 12, 2026?","A sunrise over a quiet park with a winding running path, early-morning joggers, and lush green trees.",['20260112_1500'],Single,hard
743,How did LiHua's living room look before the Chinese Lunar New Year celebration on January 18th?,"The living room was decorated with bright red lanterns, zodiac animal paper cuttings on the windows, and a festive table with tangerines and lucky envelopes.",['20260113_1100'],Single,medium
744,"How did Li Hua position herself while practicing the squat variation on January 14, 2026?",Li Hua stood on a yoga mat in her bright living room with arms extended forward and feet shoulder-width apart.,['20260114_1200'],Single,hard
745,"How was the gym prepared for the training session on January 15, 2026?","The gym was brightly lit with neatly arranged dumbbells, yoga mats rolled out, water bottles lined up on a bench, and motivational posters on the walls.",['20260114_1700'],Single,hard
746,What did the fitness section at Target look like during JenniferMoore's visit in January 2026?,"The fitness section featured neatly arranged racks of colorful yoga mats on the left and a variety of dumbbells in different weights and colors stacked on shelves to the right, with clear signage and an organized, brightly lit aisle.",['20260115_0800'],Single,medium
747,"What did LiHua's dinner look like on January 15, 2026?","LiHua's dinner featured a baked salmon fillet on quinoa, steamed broccoli, and a wedge of lemon, served with a glass of water.",['20260115_1645'],Single,hard
748,"How was LiHua's dining table decorated for the evening of January 18, 2026?","The dining table was warmly lit with neatly arranged plates and chopsticks, colorful lanterns overhead, and several dishes of Chinese cuisine including dumplings, stir-fried vegetables, and hot pot.",['20260118_1200'],Single,medium
749,"What did the street festival look like during the Lunar New Year celebrations on January 19, 2026?","The festival featured rows of glowing red lanterns overhead, crowds in festive attire, food stalls steaming with dumplings and skewers, and fireworks lighting up the sky.",['20260119_0930'],Single,easy
750,What did AdamSmith's family dinner look like during last year's Lunar New Year?,"The dining table was filled with steaming dumplings, glossy rice cakes, stir-fried greens, a large bowl of fish, and decorated with red lanterns and gold accents.",['20260119_1130'],Single,medium
751,"What was Li Hua doing during her workout on the morning of January 19, 2026?",Li Hua was smiling in a bright gym while holding a set of dumbbells.,['20260119_1430'],Single,hard
752,"What did the garden design plan shared by Turalyon on May 18, 2026 show?","The plan displayed colorful sketches of flower beds, winding pathways, benches, and a children's play area shaded by trees, surrounded by collaborative notes and gardening tools.",['20260518_1000'],Single,easy
753,"What did LiHua's Basque burnt cheesecake look like on May 19, 2026?","It had a caramelized dark brown top, a creamy pale center, and was garnished with dried tangerine peel slices and bright red hawthorn berries on a rustic wooden plate.",['20260519_1200'],Single,medium
754,"What did LiHua's garden look like on May 20, 2026?","The garden was under renovation with piles of soil, scattered construction tools, workers in bright safety vests, a cement mixer, and much of the greenery covered by tarps and debris.",['20260520_1500'],Single,hard
755,"What was Li Hua doing during the last session before May 21, 2026?","Li Hua was performing a deadlift with a loaded barbell, looking focused and determined.",['20260520_1800'],Single,hard
756,"What did The Lighthouse Cafe look like on May 20, 2026?","The cafe was warmly lit with sunlight streaming through large windows onto wooden tables, a few people working on laptops with coffee and pastries, and a small jazz band setting up on a corner stage.",['20260521_1500'],Single,medium
757,What did the band's rehearsal space look like during their last jam session before Sunday?,"The band rehearsed in a cozy, warmly lit basement filled with guitars, a keyboard, posters, and empty coffee cups, with everyone laughing and singing together.",['20260521_2000'],Single,medium
758,What did the group of participants look like during last year's outdoor class shared by JenniferMoore in May 2026?,"The group stood smiling on a grassy hilltop with yoga mats and water bottles, surrounded by trees and mountains under a clear blue sky.",['20260522_1600'],Single,medium
759,"What features were included in ChaeSong-hwa's proposed garden layout shared on May 22, 2026?","The layout included a circular garden with a play area featuring swings and a climbing structure on soft mats, curving paths through tall flower beds, shaded rest areas with benches facing the flowers, decorative signs, and trees for shade.",['20260522_2000'],Single,hard
760,What was on the table the last time Wolfgang and LiHua visited their favorite Italian restaurant?,"There was a flickering candle, two glasses of red wine, and plates of steaming pasta topped with fresh basil and parmesan cheese.",['20260523_1400'],Single,medium
761,"What did the karaoke room look like during ChaeSong-hwa and LiHua's last session before May 25, 2026?","The karaoke room was cozy with colorful disco lights, friends laughing and singing into microphones, and a table covered with snacks and drinks.",['20260525_1500'],Single,medium
762,"What was the main concern discussed by the group on May 26, 2026?",The group was concerned about the disruptive noise from ongoing garden construction.,['20260526_1540'],Single,hard
763,"What type of benches did the group discuss using for the garden on May 27, 2026?",The group discussed using stone benches for their durability and natural look.,['20260527_1000'],Single,hard
764,"What kinds of pastries were featured for the baking class announcement on May 27, 2026?",Golden croissants and crusty baguettes were shown on a rustic wooden table.,['20260527_1600'],Single,hard
765,What did YurikoYamamoto's Japanese bento look like last week?,"It featured steamed rice with black sesame seeds, grilled salmon, edamame, tamagoyaki, cherry tomatoes, and pickled radish arranged in colorful sections.",['20260527_2300'],Single,hard
766,"What did LiHua's planned work nook look like on May 28, 2026?","It featured a sunlit corner with a small desk, a comfy chair with a soft blanket, potted plants on the windowsill, and warm fairy lights above.",['20260528_1500'],Single,hard
767,"What song did the group plan to revisit during their jam session on Sunday after May 29, 2026?",The group planned to revisit 'The History of Everything' from Big Bang Theory.,['20260529_1700'],Single,hard
768,"How did the banana durian cheesecake appear when Hailey finished it on May 31, 2026?","It had a creamy, pale yellow filling with thin banana slices and powdered sugar on top, set on a golden-brown crust.",['20260531_2000'],Single,medium
769,What payment details did Li Hua have prepared for Adam Smith at the beginning of June 2026?,"Li Hua had Adam Smith's name, bank account number, and the rent amount filled in on a banking app transfer page.",['20260601_1600'],Single,medium
770,"What did LiHua's workspace look like on the morning of June 2, 2026?","LiHua's workspace featured a cozy café with sunlight, a cup of coffee, an open laptop on a wooden table, and leafy plants in the background.",['20260602_1000'],Single,medium
771,"What did the Hazelnut Basque Roasted Cheese cake look like on June 3, 2026?","The cake had rustic caramelized edges, a glossy hazelnut glaze on top, and was presented on a parchment-lined wooden board with hazelnuts and morning light streaming in.",['20260603_0945'],Single,medium
772,"What did the garden area look like on June 4, 2026, after the benches were installed?","The garden had freshly installed wooden benches in a semi-circle with wet paint signs and roped off, surrounded by green grass, budding flower beds, and some gardening tools by the fence.",['20260604_1800'],Single,medium
773,What was displayed at the gym's entrance area in early June 2026?,"A bright bulletin board covered with colorful sticky notes of motivational quotes and members' goals, topped with a sign reading 'Every Step Counts!' was displayed.",['20260605_1100'],Single,easy
774,"What was the condition of the streetlight on June 5, 2026?","The streetlight was tall, its lamp was flickering dimly, and the surrounding area was mostly in shadow.",['20260605_1845'],Single,hard
775,"What breathing technique did Jennifer Moore recommend for running on June 6, 2026?",Jennifer Moore recommended inhaling for three steps and exhaling for two steps to improve stamina while running.,['20260606_0900'],Single,easy
776,"What did the band's practice space look like during one of their first sessions, as shared by WolfgangSchulz on June 6, 2026?","The space was a cozy living room with music stands, cables, and instruments scattered around, three friends enjoying themselves, and a plate of cookies on a small table under warm lighting.",['20260606_1945'],Single,hard
777,"How did the garden bed appear on June 8, 2026?","The garden bed was filled with clusters of colorful flowers—pinks, yellows, and purples—set in rich soil, with wooden benches nearby and sunlight filtering through the trees.",['20260608_1400'],Single,medium
778,What was the atmosphere like during the jam session last Sunday?,"The atmosphere was joyful and relaxed, with people smiling and laughing while playing instruments together in a cozy living room.",['20260608_1430'],Single,easy
779,"What did LiHua's backyard look like on June 9, 2026?","The backyard had patches of dirt, construction tools scattered around, new wooden planters being installed, and a couple of workers present under a bright afternoon sun.",['20260609_1300'],Single,hard
780,What was written on the whiteboard during the start of the core challenge next week?,The whiteboard read 'Core Challenge – Day 1' in bold letters.,['20260609_1620'],Single,hard
781,What was the atmosphere like during the group run at the park last weekend?,"The group run was energetic and cheerful, with people running together along a sunlit trail beneath lush green trees.",['20260610_1600'],Single,easy
782,"What did the high-protein breads look like when Hailey introduced them on June 11, 2026?","They were golden-brown loaves cooling on a wooden rack, with some sliced open to reveal a dense crumb filled with seeds and grains, and labeled 'High-Protein Power Bread.'",['20260611_1245'],Single,easy
783,"What features were present in the children's play area as of June 12, 2026?","The children's play area included a colorful slide, swings, a climbing frame on bright soft mulch, neat wooden fencing, green grass, young trees, and nearby cheerful benches.",['20260612_1500'],Single,medium
784,"What did the group's setup look like during their last jam session, as mentioned by Chae Song-hwa?","The group was in a cozy living room with guitars on stands, a drum set in the corner, lyric sheets on the coffee table, and everyone laughing under warm lamplight.",['20260613_1045'],Single,medium
785,"What were Jennifer and Li Hua doing during their last session before June 16, 2026?","They were mid-workout in a bright gym, smiling and giving a thumbs-up.",['20260615_0900'],Single,hard
786,"What did the backyard look like on June 15, 2026, during the garden construction?","The backyard was sunny with half-built raised garden beds, piles of soil, gardening tools, some colorful flowers along the edges, and people in work gloves tending to the beds.",['20260616_1040'],Single,hard
787,What details were displayed at the bottom of the local music festival poster LiHua shared on June 17th?,"The bottom of the poster clearly displayed the date, time, and location of the festival.",['20260617_1700'],Single,medium
788,What did Hailey's croissants look like before the baking class in June 2026?,"They were golden, flaky, and fresh out of the oven, with crispy layers and a dusting of flour on the countertop.",['20260618_1130'],Single,hard
789,What details were included on the flyer for the nutrition talk scheduled for June 24?,"The flyer featured a smiling athlete holding a bowl of salad, announced the special guest speaker, listed the event as Wednesday, June 24 at 6 PM in the Wellness Center Auditorium, and mentioned free snacks and a Q&A session.",['20260619_0815'],Single,medium
790,What did the community garden look like last weekend according to Chae Song-hwa?,"The garden featured lush green shrubs, some blooming flowers, a partially completed stone pathway, and construction barriers in the background.",['20260620_1845'],Single,hard
791,What did the rehearsal space look like during the last jam session shared by Wolfgang Schulz?,"The rehearsal space was a cozy basement decorated with colorful string lights, with instruments scattered around and the group laughing together amid open snack bags and soda cans on a small table.",['20260621_1645'],Single,medium
792,"What did the room look like during the last jam session before June 21, 2026?","The group was in a cozy living room filled with guitars, a keyboard, a drum set, warm string lights, and posters of classic bands, all while laughing and mid-song.",['20260621_1900'],Single,medium
793,"How did Li Hua prepare for the training session on June 22, 2026?","Li Hua set up a neatly arranged workout space with a yoga mat, dumbbells, a water bottle, and bright sneakers in a sunlit room with motivational posters.",['20260622_1100'],Single,hard
794,What did the bakery display look like before the healthy bread tasting event on Saturday?,"The bakery table was covered with assorted freshly baked bread loaves, including seeded, whole grain, and vegetable swirl varieties, arranged with bowls of dips and sliced fruit in sunlight.",['20260622_1330'],Single,medium
795,What was Li Hua doing during last week's session when she hit her new personal best?,"Li Hua was lifting a barbell with determination in a bright gym, with motivational posters behind her and other gym members cheering her on.",['20260623_1015'],Single,hard
796,What did the living room look like during last Sunday's jam session?,"The living room was cozy and sunlit, with an acoustic guitar by the couch, a drum set in the corner, a microphone stand near the window, and sheet music scattered on the coffee table, as the four friends smiled and laughed together.",['20260624_1400'],Single,medium
797,What did the living room look like during last Sunday's jam session?,"The living room was cozy and sunlit, with an acoustic guitar by the couch, a drum set in the corner, a microphone stand near the window, and sheet music scattered on the coffee table, as the four friends smiled and laughed together.",['20260624_1400'],Single,medium
798,How did the band look during their last rehearsal before Sunday?,"The band was smiling and mid-laugh, holding their instruments with colorful stage lights casting a warm glow.",['20260625_1900'],Single,medium
799,What did the basement look like during last week's jam session?,"The basement was cozy and dimly lit, with colorful rugs, musical instruments scattered around, and string lights hanging from the ceiling.",['20260625_2000'],Single,medium
800,"How did ChaeSong-hwa and her team celebrate their research breakthrough on June 26, 2026?","They gathered in the lab wearing lab coats, smiling around a table with data sheets, laptops, and a cake that said 'Congrats Team!' while balloons floated in the background and one teammate raised a toast.",['20260626_1100'],Single,medium
801,"What did the restaurant LiHua suggested on June 27, 2026, look like?","It was a warmly lit noodle restaurant with wooden tables, hanging paper lanterns, and a window overlooking a bustling evening street.",['20260627_1200'],Single,hard
802,"Where did Li Hua say the band would meet for rehearsal on Sunday, June 30, 2026?",Li Hua said the band would meet at the basement for rehearsal.,['20260629_1830'],Single,hard
803,"What hydration goal did Breach set for June 30th, 2026?",Breach aimed to drink at least 3 liters of water that day.,['20260630_1530'],Single,medium
804,"What yoga pose did JenniferMoore share with LiHua on June 30, 2026?",JenniferMoore shared a photo of Tree Pose performed in a serene studio with natural light.,['20260630_1800'],Single,easy
805,"What was the weather like on July 1, 2026, according to Tirion Fordring?",There was a storm and rain that had been ongoing for days.,['20260701_1000'],Single,medium
806,How did LiHua cope with the garden renovation noise in July 2026?,LiHua moved her work to the café to escape the garden renovation noise.,['20260701_1400'],Single,medium
807,"What did the pad thai at the Thai restaurant look like on July 2, 2026?","The pad thai featured glistening rice noodles topped with shrimp, crushed peanuts, bean sprouts, a lime wedge, and fresh green onions on a rustic wooden table.",['20260702_1500'],Single,medium
808,"What was the main focus of the resident vote announced on July 2, 2026?",The resident vote was focused on selecting specific types of flowers for the garden.,['20260702_1900'],Single,medium
809,"Which song did Yuriko Yamamoto suggest the group practice for their community performance on July 3, 2026?",Yuriko Yamamoto suggested practicing 'Take Me Home Country Roads' by John Denver.,['20260703_1145'],Single,easy
810,"What did the exterior of 'Across the Stars' coffee shop look like on July 6, 2026?","The exterior featured large windows, warm golden lighting, a sign with elegant lettering above the door, small tables with potted plants outside, and a chalkboard menu by the entrance.",['20260706_1530'],Single,medium
811,"What did the band's living room look like during their last jam session before July 6, 2026?","The living room was cozy with instruments scattered around, everyone laughing mid-song, and sunlight casting a warm glow on the group.",['20260706_1930'],Single,medium
812,"What did the basement look like after the rainstorms on July 7, 2026?","The basement was clean, well-lit, with dry concrete floors and no visible water damage or leaks.",['20260707_1600'],Single,medium
813,"What did Jett's workout playlist look like on July 8, 2026?","Jett's workout playlist featured energetic pop and EDM songs with vibrant album art, displayed on a smartphone screen set against gym equipment and a water bottle.",['20260708_1400'],Single,medium
814,"What features did the community playground that IllidanStormrage shared on July 9, 2026, include?","It featured colorful slides, climbing structures, swings for various ages, a soft mulch ground, shaded picnic tables, and a small interactive area with musical play panels.",['20260709_1000'],Single,easy
815,"How did the loaves of bread appear just before delivery on July 10, 2026?",The loaves were golden-brown with glistening crusts and steam rising from them as they cooled on a wooden rack in a rustic kitchen.,['20260710_0830'],Single,medium
816,"What kind of atmosphere did ChaeSong-hwa imagine for a relaxing night on July 11, 2026?","A cozy living room softly lit with warm string lights, plush pillows and blankets, herbal tea on a wooden coffee table, and city lights twinkling outside the window.",['20260711_1100'],Single,medium
817,"What did the tray of donuts look like on the morning of July 12, 2026?","The tray featured freshly baked donuts in rows with chocolate hazelnut, glossy raspberry, and bright lemon glazes in a sunlit bakery kitchen.",['20260712_1600'],Single,medium
